ClassOfDevice,count
0,1685114
17,28
256,3
260,2
268,52
272,2
276,2
516,231
520,22
1032,2
1408,2
1568,1
1664,17
1796,16
7936,12607
7967,44
7978,10
9472,56
9476,3
9536,27
9600,14
9620,1
21930,3
66816,965
131328,125
131332,36
131336,5
131340,5935
131344,154
131840,5
133404,3
262412,1
263200,180
263808,6906
393484,67
393488,1
394880,269
524556,1
524804,9
525340,17
526084,5
655628,2
655632,876
656412,21
657156,12
786700,1
1048836,12
1048848,1
1048852,25
1049092,10
1049608,21
1056512,1
1179908,17
1179916,52
1312384,23
1573132,794
1573136,153
1573380,486
1704204,100
1704208,23
1704212,63
1704220,442
1704452,29
1835276,11
2098180,4519
2098184,145788
2098204,4
2098208,23
2098216,4
2098232,21
2098496,68
2098692,2
2106372,6
2114564,4
2122756,2
2139140,1
2155524,9
2228492,1
2229252,396
2245636,3
2360320,19
2360324,21769
2360328,11686
2360336,33
2360340,783
2360344,303
2360352,8
2360360,2
2360376,4
2361092,364
2361100,246
2368516,78
2417668,3
2426176,8
2491396,195
2491400,103
2491420,1
2507780,5
2606084,10
2621708,3
2622468,3
2622472,7350
2623236,14
2655236,13
2752772,10
2752780,279
2752784,47
2786308,1
2884612,344
2900996,3
2917380,14
2950148,5
3015684,11
3032068,15
3081220,14
3146756,651
3146760,32840
3146784,65
3277068,1
3378078,572
3408900,1431
3408904,75352
3408924,5
3408928,694
3417092,4
3539212,2
3670284,184
3671048,64
3671068,4
3736580,1
3801356,44
3810308,20
3932428,2
3932432,14
3933188,9
4056068,9
4063488,4
4063500,401
4063504,1
4064260,1
4097028,16
4129796,561
4162564,3
4194304,195
4194816,3
4194820,3
4203012,5
4325920,6
4326144,304
4850188,50
5243396,3778
5243404,192
5374224,2
5374468,8338
5374472,7
5382660,64
5767440,15
5767684,28020
5767692,627
5898508,6
5898516,96
5898524,2
5898756,54370
5898760,62
5898764,41144
5906948,307
6029828,2
6160900,29
6160908,653
6291712,2
6292488,39
6423052,6
6423560,2
6488580,406
6553856,1
6554628,272
6554632,12
6554664,5
6571012,1
6579204,7
6685704,2
6734852,7
6743044,1185
6751236,7
6792196,8
6816020,24
6817540,2
6947088,270
6947332,8
6947868,55
7078144,13
7078916,3
7087108,1
7209216,4
7209228,4
7340548,4
7340556,36
7341060,2831
7463940,1
7471620,1334
7471628,244
7472132,5
7472136,124
7603208,181
7734280,976
7864844,941
7995908,488
7995916,155505
8004108,101
8094724,1
8126720,1
8127492,1
8193028,13
8242180,13
8257804,117
8258060,197
8258564,160
8266756,1
8274948,25
8283140,6
8291332,2
8307716,3
8315908,2
8323340,1
8356868,4
8388864,106
8388880,91
8389888,31
8389940,319
8390404,16
9568512,1209
10092800,402
10486788,3
10487552,16
10617860,2
10634244,2
10912772,122
11142148,9
11150340,6
11166724,5
11183108,1
11191300,2
11199492,2
11273220,32
11305988,3
11371524,4
11404292,46
11412484,6
11420676,135
11437060,23
11461636,10
11469828,69
11625476,98
11699204,8
11887620,52
11953156,56
12190724,5
12223492,68
12231684,1
12239876,5
12248068,7
12313604,1
12354564,13
12370948,1
12452868,5
12485636,309
12493828,1
12502020,17
12518404,127
12526596,2
12534788,2
12551172,105
12559364,5
12567556,4
12702886,1
13108228,12
13762832,302
15205380,1441
15336452,20
15352836,5
15385604,5
15451140,2
15467524,740
15492100,5
15598596,22
15614980,28
15623172,75
15647748,54
15730436,74
16049156,12
16098308,36
16122884,6
16131076,51
16188420,1
16401412,5
16434180,2
16521363,6
16540676,1
16614404,3
16630788,9
16646143,27
16647172,7
16663556,29
16671748,5
16679940,8
16688132,1
16696324,88
16704516,40
16711940,2
16711948,1
16712204,2
16712708,51
16720152,6
16729092,2
16745476,1
16761860,21
16770052,9
